temperature,clouds,date_time,visitors
15.129999999999995,40,2012-10-02 09:00:00,4436.0
16.210000000000036,75,2012-10-02 10:00:00,4516.0
16.430000000000007,90,2012-10-02 11:00:00,4767.0
16.980000000000018,90,2012-10-02 12:00:00,5026.0
17.990000000000013,75,2012-10-02 13:00:00,4918.0
18.57000000000005,1,2012-10-02 14:00:00,5181.0
20.02000000000004,1,2012-10-02 15:00:00,5584.0
20.710000000000036,1,2012-10-02 16:00:00,6015.0
20.990000000000013,20,2012-10-02 17:00:00,6949.2
19.95000000000005,20,2012-10-02 18:00:00,7155.0
17.82000000000005,20,2012-10-02 19:00:00,7078.0
16.230000000000018,1,2012-10-02 20:00:00,6124.8
15.460000000000036,1,2012-10-02 21:00:00,4958.1
14.010000000000048,1,2012-10-02 22:00:00,3822.5
12.300000000000011,1,2012-10-02 23:00:00,2600.100000000001
11.480000000000016,1,2012-10-03 00:00:00,1366.2
10.320000000000052,1,2012-10-03 01:00:00,674.1
8.03000000000003,1,2012-10-03 02:00:00,273.0
7.939999999999998,1,2012-10-03 03:00:00,367.0
6.379999999999996,1,2012-10-03 04:00:00,814.0
5.470000000000027,1,2012-10-03 05:00:00,1630.8
5.080000000000041,1,2012-10-03 06:00:00,2269.2000000000007
4.970000000000027,1,2012-10-03 08:00:00,4557.7
9.33000000000004,1,2012-10-03 09:00:00,4376.8
18.82000000000005,1,2012-10-03 12:00:00,5097.0
20.080000000000037,1,2012-10-03 13:00:00,4887.0
21.160000000000025,1,2012-10-03 14:00:00,5337.0
22.02000000000004,1,2012-10-03 15:00:00,5692.0
21.98000000000001,1,2012-10-03 16:00:00,6137.0
20.510000000000048,20,2012-10-03 18:00:00,6934.5
17.5,20,2012-10-03 19:00:00,7182.0
15.040000000000019,20,2012-10-03 20:00:00,6375.6
13.950000000000045,1,2012-10-03 21:00:00,5537.7
13.100000000000026,1,2012-10-03 22:00:00,4442.5
12.110000000000017,1,2012-10-03 23:00:00,2740.5
11.400000000000036,1,2012-10-04 00:00:00,1614.6
10.320000000000052,1,2012-10-04 01:00:00,774.9
10.020000000000039,1,2012-10-04 02:00:00,312.0
8.890000000000043,1,2012-10-04 03:00:00,367.0
8.540000000000019,1,2012-10-04 04:00:00,835.0
8.170000000000016,1,2012-10-04 05:00:00,1635.6
7.590000000000032,1,2012-10-04 06:00:00,2275.6
7.420000000000018,1,2012-10-04 07:00:00,4194.0
8.710000000000036,1,2012-10-04 08:00:00,4189.5
11.830000000000036,1,2012-10-04 09:00:00,4247.2
16.03000000000003,1,2012-10-04 10:00:00,4603.0
18.400000000000034,1,2012-10-04 11:00:00,4884.0
21.820000000000054,1,2012-10-04 12:00:00,5104.0
23.23000000000001,1,2012-10-04 13:00:00,5178.0
24.170000000000016,1,2012-10-04 14:00:00,5501.0
25.02000000000004,1,2012-10-04 15:00:00,5713.0
24.910000000000025,20,2012-10-04 16:00:00,6292.0
24.52000000000004,20,2012-10-04 17:00:00,7268.4
23.210000000000036,40,2012-10-04 18:00:00,7360.5
20.70000000000005,40,2012-10-04 19:00:00,7006.0
19.28000000000003,40,2012-10-04 20:00:00,6681.400000000002
18.620000000000005,75,2012-10-04 21:00:00,5926.2
18.210000000000036,75,2012-10-04 22:00:00,4980.0
17.970000000000027,75,2012-10-04 23:00:00,3148.200000000001
17.480000000000018,75,2012-10-05 00:00:00,1692.9
17.310000000000002,40,2012-10-05 01:00:00,814.8000000000003
16.110000000000017,0,2012-10-05 03:00:00,
10.060000000000002,75,2012-10-05 05:00:00,1493.4
